| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       1 |            pp12 |         29.73 ± 0.03 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       1 |             tg6 |         11.59 ± 0.00 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       2 |            pp12 |         53.10 ± 0.09 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       2 |             tg6 |         19.91 ± 0.01 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       3 |            pp12 |         73.75 ± 0.03 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       3 |             tg6 |         27.60 ± 0.01 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       4 |            pp12 |         93.55 ± 0.03 |
| openelm 3B Q4_0                |   1.62 GiB |     3.04 B | CPU        |       4 |             tg6 |         34.95 ± 0.01 |

build: 3df2244d (6700)
